SampleNo.,Grading.%PassingBSSieveSize(mm).20,Grading.%PassingBSSieveSize(mm).10,Grading.%PassingBSSieveSize(mm).5,Grading.%PassingBSSieveSize(mm).2,Grading.%PassingBSSieveSize(mm).0.425,Grading.%PassingBSSieveSize(mm).0.075,AtterbergLimits.LL.%,AtterbergLimits.PL.%,AtterbergLimits.PI.%,AtterbergLimits.LS.%,CompactionT180.MDD.Kgm3,CompactionT180.OMC.(%),CBR.4daysSoak.(%),Swell.(%),SoilComposition.Gravel.(%),SoilComposition.Sand.(%),SoilComposition.SiltClay.(%),CBR_Bin
39,100,98,93,74,50,44,55,40,15,8,1395,18.4,10,0.2,26,30,44,Low
40,100,100,99,90,75,65,75,50,25,13,1120,27.3,1,2.6,10,25,65,Low
41,100,83,59,43,33,27,53,34,19,9,1883,16.3,26,0.2,57,16,27,Medium
42,100,80,70,63,40,27,39,22,17,8,1865,10.2,30,0.1,37,36,27,Medium
43,100,89,66,51,40,32,48,28,20,10,1990,13.8,20,0.2,49,19,32,Medium
44,100,88,65,50,39,31,50,30,20,10,1685,16.4,29,0.2,50,19,31,Medium
45,100,96,88,81,66,49,82,34,48,9,1357,25.3,15,0.2,19,32,49,Medium
46,100,89,78,67,49,31,46,38,8,4,1440,20.0,15,0.1,33,36,31,Medium
47,100,61,21,10,7,6,45,27,18,9,1764,12.5,35,0.3,90,4,6,High
48,100,99,98,97,94,87,52,29,23,11,1470,13.2,4,0.3,3,10,87,Low
49,100,99,90,87,79,68,51,30,21,10,1550,12.0,5,0.2,13,19,68,Low
50,100,91,79,71,57,47,50,31,19,9,1347,14.9,7,0.2,29,24,47,Low
51,100,93,85,76,63,51,47,27,20,10,1538,14.5,6,0.2,24,25,51,Low
52,100,96,89,81,73,64,50,27,23,11,1320,25.2,8,0.2,19,17,64,Low
53,100,86,70,51,20,17,40,27,13,6,1682,15.5,30,0.1,49,34,17,Medium
54,100,100,98,91,84,78,58,32,26,13,1273,27.2,5,0.3,9,13,78,Low
55,100,100,100,86,60,48,64,39,25,12,1269,28.0,5,0.3,14,38,48,Low
56,100,86,73,59,33,24,42,27,15,8,1682,15.5,35,0.2,41,35,24,High
57,100,89,82,76,58,49,52,40,12,6,1448,19.7,30,0.3,24,27,49,Medium
58,100,94,88,84,69,50,44,12,32,16,1552,15.3,6,0.3,16,34,50,Low
59,100,86,75,55,33,22,44,27,17,9,1827,15.0,30,0.2,45,33,22,Medium
60,100,76,46,33,15,6,47,27,20,10,1644,21.0,30,0.2,67,27,6,Medium
61,100,76,61,50,33,14,44,27,17,8,1782,11.5,10,0.2,50,36,14,Low
62,100,85,60,49,35,24,48,29,19,10,1580,20.6,28,0.2,51,25,24,Medium
63,100,85,60,49,35,24,46,31,15,7,1580,20.6,60,0.1,51,25,24,High
64,100,85,60,49,35,24,43,32,11,5,1580,20.6,100,0.1,51,25,24,High
65,100,85,60,49,35,24,40,31,9,4,1580,20.6,140,0.05,51,25,24,Very_High
66,100,85,60,49,35,24,39,33,6,3,1580,20.6,170,0.05,51,25,24,Very_High
67,100,88,73,57,39,31,60,36,24,7,1622,13.0,28,0.2,43,26,31,Medium
68,100,80,57,51,42,31,48,31,17,9,1611,16.5,30,0.2,49,20,31,Medium
69,100,93,73,61,48,39,54,35,19,10,1511,19.4,15,0.1,39,22,39,Medium
70,100,90,59,34,23,18,48,27,21,11,1607,17.5,15,0.2,66,16,18,Medium
71,100,97,84,65,35,24,40,28,12,6,1660,16.0,24,0.1,35,41,24,Medium
