Grading.Unnamed:0_level_1.%PassingBSSieveSize(mm).20,Grading.Unnamed:1_level_1.%PassingBSSieveSize(mm).10,Grading.Unnamed:2_level_1.%PassingBSSieveSize(mm).5,Grading.Unnamed:3_level_1.%PassingBSSieveSize(mm).2,Grading.Unnamed:4_level_1.%PassingBSSieveSize(mm).0.425,Grading.Unnamed:5_level_1.%PassingBSSieveSize(mm).0.075,AtterbergLimits.Unnamed:6_level_1.LL.%,AtterbergLimits.Unnamed:7_level_1.PL.%,AtterbergLimits.Unnamed:8_level_1.PI.%,AtterbergLimits.Unnamed:9_level_1.LS.%,AtterbergLimits.Unnamed:10_level_1.PM.Unnamed:10_level_3,Compaction.Unnamed:11_level_1.MDD.Kgm3,Compaction.Unnamed:12_level_1.OMC.(%),CBR.Unnamed:13_level_1.4daysSoak.(%),Swell.Unnamed:14_level_1.(%).Unnamed:14_level_3,SoilComposition.Unnamed:15_level_1.Gravel.(%),SoilComposition.Unnamed:16_level_1.Sand.(%),SoilComposition.Unnamed:17_level_1.SiltClay.(%)
100,99,96,90,76,67,53,30,23,11,1748,1355.0,22.8,4.0,1.1,10,23,67
100,87,73,57,35,24,32,18,14,7,490,1650.0,16.0,35.0,0.3,43,33,24
100,86,53,36,25,19,30,20,10,5,250,1915.0,11.6,40.0,0.3,64,17,19
100,86,61,43,28,17,24,16,8,4,224,1950.0,11.5,40.0,0.3,57,26,17
100,63,46,35,27,22,51,38,13,6,351,1408.0,24.7,30.0,0.3,65,13,22
100,81,67,58,44,37,51,27,24,12,1056,1736.0,17.8,21.0,0.5,42,21,37
100,100,97,91,70,53,44,26,18,9,1260,1464.0,16.9,22.0,0.3,9,38,53
100,87,75,66,45,35,40,30,10,5,450,1369.0,22.6,25.0,0.4,34,31,35
100,91,80,72,57,50,48,28,20,10,1140,1276.0,22.7,19.0,0.6,28,22,50
100,85,73,65,52,43,65,40,25,13,1300,1208.0,34.7,10.0,1.2,35,22,43
100,86,73,65,54,48,50,32,18,9,1674,1430.0,18.5,20.0,0.5,35,17,48
100,97,95,92,85,78,52,28,24,12,2040,1250.0,23.5,10.0,0.45,8,14,78
100,94,85,81,72,67,41,23,18,9,1296,1255.0,31.6,9.0,0.35,32,17,51
100,81,69,60,47,40,55,36,19,9,1504,1252.0,31.8,8.0,0.6,40,20,40
100,85,76,72,61,54,64,46,20,11,1220,1480.0,17.9,15.0,0.4,28,18,54
100,83,67,50,37,31,41,23,18,9,666,1695.0,14.2,25.0,0.3,50,19,31
100,82,62,40,23,15,30,19,12,6,276,1950.0,8.2,35.0,0.3,60,25,15
100,94,80,60,41,32,50,32,18,9,738,1830.0,13.1,35.0,0.35,40,28,32
100,95,88,82,65,35,37,20,17,8,1105,1780.0,13.5,25.0,0.3,18,47,35
100,90,76,61,45,31,35,20,16,8,720,1745.0,13.5,25.0,0.35,39,30,31
100,87,68,48,28,22,39,23,16,8,448,1720.0,12.7,40.0,0.1,52,26,22
100,96,86,73,52,39,33,18,14,7,728,1650.0,14.7,21.0,0.3,27,34,39
100,92,81,63,42,34,41,26,15,7,630,1385.0,13.6,22.0,0.2,37,29,34
100,85,74,69,55,49,52,30,22,11,1210,1511.0,18.4,21.0,0.35,31,20,49
100,65,49,33,12,6,50,32,18,9,216,1912.0,12.2,45.0,0.1,67,27,6
100,96,66,47,24,19,32,19,14,7,336,1630.0,15.0,30.0,0.3,47,34,19
100,86,73,60,40,28,44,25,18,9,720,2090.0,7.5,35.0,0.2,40,32,28
100,93,78,48,35,28,35,17,18,9,630,1768.0,12.4,30.0,0.2,52,20,28
100,89,77,50,33,25,34,20,14,7,462,1878.0,9.7,30.0,0.2,50,25,25
100,95,80,53,35,30,33,20,13,6,455,1884.0,10.5,25.0,0.2,47,23,30
100,96,84,55,37,33,35,21,14,7,518,1828.0,9.2,35.0,0.2,45,22,33
100,98,88,75,58,49,43,26,17,9,986,1742.0,11.9,15.0,0.1,25,26,49
100,93,78,48,35,28,35,17,18,9,630,1768.0,12.4,30.0,0.2,52,20,28
100,89,77,50,33,25,34,20,14,7,462,1878.0,9.7,30.0,0.2,50,25,25
100,95,80,53,35,30,33,20,13,6,455,1884.0,10.5,25.0,0.2,47,23,30
100,96,84,55,37,33,35,21,14,7,518,1828.0,9.2,30.0,0.2,45,22,33
100,98,88,75,58,49,43,26,17,9,986,1742.0,11.9,15.0,0.1,25,26,49
100,95,79,60,53,44,38,20,18,9,954,1826.0,11.7,45.0,0.3,40,16,44
100,97,88,75,60,54,41,25,16,8,960,1696.0,13.7,40.0,0.3,25,21,54
100,100,94,86,78,70,28,22,7,4,546,1701.0,10.9,5.0,0.4,14,16,70
100,98,87,76,59,45,40,27,13,6,988,1680.0,11.4,11.0,0.3,24,31,45
100,89,65,45,32,20,39,33,6,3,192,1467.0,17.0,40.0,0.2,55,25,20
100,96,78,56,45,35,39,32,7,4,315,1813.0,9.8,45.0,0.2,44,23,33
100,85,65,26,20,18,30,24,6,3,120,1540.0,16.8,30.0,0.1,74,10,16
100,76,68,75,49,39,46,31,15,8,735,1641.0,14.4,12.0,0.3,25,36,39
100,86,66,49,44,43,44,29,15,8,660,1651.0,14.0,40.0,0.35,51,6,43
100,90,70,53,41,35,42,25,17,8,697,1892.0,14.0,40.0,0.3,47,18,35
100,88,77,66,48,39,47,31,16,8,768,1737.0,15.5,45.0,0.35,34,27,39
100,96,90,83,48,39,63,41,22,11,1056,1426.0,17.2,12.0,0.5,17,44,39
100,92,79,65,40,31,46,29,17,9,680,1314.0,23.1,50.0,0.3,35,34,31
100,92,82,61,36,30,53,39,14,7,504,1500.0,24.5,25.0,0.3,39,31,30
100,100,100,99,94,90,58,36,22,11,2068,1230.0,34.3,6.0,0.5,1,8,91
100,100,100,99,95,92,60,38,22,11,2090,1220.0,33.0,6.0,0.53,1,7,92
100,100,100,93,92,89,59,36,23,11,2116,1207.0,33.9,5.0,0.51,7,4,89
100,86,81,68,55,40,32,16,16,8,880,1822.0,10.6,35.0,0.3,32,28,40
100,87,66,35,27,15,49,31,18,9,486,1826.0,10.2,35.0,0.3,65,20,15
100,87,71,51,35,31,40,27,13,6,455,1427.0,19.0,25.0,0.3,49,20,31
100,70,46,30,20,17,35,24,11,6,220,1840.0,13.2,30.0,0.3,70,13,17
100,79,63,47,24,17,42,30,12,6,288,1516.0,15.5,30.0,0.3,53,30,17
100,90,59,48,41,31,38,24,14,7,574,1650.0,16.5,30.0,0.3,35,30,35
100,88,73,60,56,47,46,26,20,10,1120,1327.0,24.1,10.0,0.2,40,13,47
100,100,99,96,80,56,53,25,28,14,2240,1246.0,28.9,4.0,0.4,4,40,56
100,98,95,93,90,58,49,21,28,14,2520,1162.0,22.7,5.0,0.3,7,35,58
100,100,94,86,78,55,45,20,25,13,1950,1161.0,30.7,5.0,0.3,14,16,70
100,97,93,87,74,27,43,23,20,10,2072,1262.0,30.4,7.0,0.3,13,60,27
100,86,74,65,37,12,28,20,8,4,296,1650.0,14.5,30.0,0.3,35,53,12
100,85,76,68,38,10,26,20,6,3,228,1644.0,15.1,30.0,0.3,32,58,10
100,96,86,76,68,63,40,26,15,8,1020,1400.0,17.0,15.0,0.3,34,23,43
100,93,84,77,62,49,42,23,20,10,1240,1370.0,16.5,10.0,0.3,23,28,49
100,93,67,46,35,32,39,24,15,7,481,1780.0,15.0,30.0,0.3,54,14,32
100,92,74,57,36,29,55,37,18,9,648,1750.0,18.4,25.0,1.0,43,28,29
100,95,86,80,56,45,59,39,20,9,1120,1539.0,13.2,26.0,1.0,20,35,45
100,90,70,63,49,38,56,35,21,11,1029,1342.0,24.2,15.0,1.3,37,25,38
100,91,82,73,60,52,31,17,14,7,840,1399.0,24.5,30.0,0.35,27,21,52
100,91,72,55,30,21,42,26,16,8,480,1530.0,18.5,25.0,0.3,45,34,21
100,93,80,63,43,37,50,26,24,12,1032,1438.0,20.5,13.0,1.9,37,26,37
100,98,87,72,60,49,42,20,22,11,1320,1521.0,18.1,12.0,1.6,28,23,49
100,90,70,50,32,22,53,34,19,9,608,1867.0,14.3,30.0,0.3,50,28,22
100,83,63,46,28,19,40,24,16,8,448,1893.0,14.0,50.0,0.2,54,27,19
100,89,72,55,41,30,24,16,8,4,328,1984.0,8.6,20.0,0.3,45,25,30
100,82,62,49,35,26,32,18,14,7,490,1754.0,15.0,20.0,0.35,51,23,26
100,100,100,97,95,92,57,27,30,15,2880,1367.0,29.1,5.0,1.1,3,5,92
100,100,100,89,79,73,55,25,30,15,2370,1364.0,32.3,5.0,1.3,11,16,73
100,100,100,90,88,68,50,21,29,14,2552,1418.0,29.0,5.0,1.4,10,22,68
100,100,100,93,90,88,57,27,30,15,2700,1372.0,33.1,5.0,1.5,7,5,88
100,100,100,99,97,96,59,29,30,15,2910,1362.0,28.9,5.0,1.6,1,3,96
100,90,81,71,54,44,37,20,17,9,918,1724.0,15.9,30.0,0.3,29,27,44
100,100,100,96,93,90,52,29,23,12,2139,1240.0,33.4,6.0,0.5,4,6,90
100,100,100,95,92,89,51,29,22,11,2024,1230.0,30.2,5.0,1.6,5,6,89
100,87,75,59,41,29,34,22,12,6,612,1580.0,14.5,30.0,0.3,41,30,29
100,92,83,70,51,38,38,20,18,9,918,1700.0,18.5,19.0,0.5,30,32,38
100,94,74,50,35,31,33,14,18,9,630,1768.0,17.5,30.0,0.3,50,19,31
100,89,70,50,36,30,43,29,14,7,504,1646.0,21.0,25.0,0.3,50,20,30
100,99,98,96,92,86,50,26,24,12,2208,1199.0,13.2,7.0,0.5,4,10,86
100,84,61,44,30,22,54,43,12,6,360,1618.0,24.1,30.0,0.2,56,22,22
100,98,90,80,43,21,33,21,12,6,516,1770.0,12.3,19.0,0.2,20,59,21
100,94,85,75,33,13,29,21,8,4,264,1792.0,9.7,24.0,0.2,25,62,13
100,70,47,28,11,8,38,26,12,6,132,1915.0,14.1,40.0,0.2,72,20,8
100,75,60,51,24,19,38,23,15,7,360,1525.0,24.5,26.0,0.3,49,32,19
100,95,79,64,42,34,40,22,18,9,756,1371.0,21.0,24.0,0.3,36,30,34
100,87,71,59,39,16,36,29,8,4,304,1718.0,18.5,30.0,0.3,41,43,16
100,65,51,33,12,6,41,26,15,8,180,1792.0,15.5,25.0,0.3,67,27,6
